ds,yhat,yhat_lower,yhat_upper,y
2004-01-29,1807563.174366441,1587532.824154234,2028938.9979359114,1834659.0
2004-01-30,1808727.0626414083,1575653.4473307326,2033663.097576721,1763622.0
2004-01-31,1835318.2395596383,1617956.3443389465,2048609.9992011224,2068604.0
2004-02-01,1810781.6999748885,1573047.3395578642,2040358.3092764036,1879943.0
2004-02-02,1818599.8113737132,1586711.671162549,2041321.5834305673,1709072.0
2004-02-03,1812379.9201258803,1591449.2589547546,2030401.6134516422,1566647.0
2004-02-04,1791858.3109702135,1548703.2124504165,2017470.476072765,1599308.0
2004-02-05,1785201.0521544854,1559584.208647736,2000700.949752829,1743235.0
2004-02-06,1774390.1429602276,1535055.7582261777,2001779.1393229915,1666543.0
2004-02-07,1789914.4514394256,1549530.5043473954,2010797.0593699568,1550706.0
2004-02-08,1755340.7294960574,1514677.6987324408,1970627.6542793615,1668556.0
2004-02-09,1754244.5277036403,1530344.9983182575,1960313.478379868,1709439.0
2004-02-10,1740297.2601554096,1531844.420540184,1984082.411309705,1510555.0
2004-02-11,1713270.3645158198,1488627.8204005386,1942662.9909598604,1522678.0
2004-02-12,1701337.0522324617,1469222.4507154569,1917130.4625476217,1648866.0
2004-02-13,1686460.010708058,1448059.4166146626,1910264.953622832,1541950.0
2004-02-14,1699084.4749538833,1476979.210294529,1923248.4235098357,1494582.0
2004-02-15,1662711.8725828927,1456813.0792413326,1884332.3429191522,1612816.0
2004-02-16,1660833.7711408501,1421476.6699606648,1875623.8681843749,1798602.0
2004-02-17,1647022.2774220128,1402054.0227394083,1857591.5050874888,1913336.0
2004-02-18,1620937.7291701003,1390149.3952064733,1855198.654514559,1672902.0
2004-02-19,1610634.06832437,1382479.1706247316,1837470.727161543,1470915.0
2004-02-20,1597950.153824593,1369961.8625480474,1841877.956694835,1331475.0
2004-02-21,1613206.3325993295,1384736.1778903268,1834328.4095160165,1202497.0
2004-02-22,1579781.3813052345,1361483.7874291386,1800343.127691702,1380043.0
2004-02-23,1581049.4663900882,1346556.0852841793,1797640.2918277297,1503684.0
2004-02-24,1570473.202662782,1361077.75458148,1796570.7806152205,1398020.0
2004-02-25,1547613.5947879693,1313405.2165365708,1776911.8249809656,1535181.0
2004-02-26,1540437.209520607,1311528.6826807822,1768218.7694031617,1753315.0
2004-02-27,1530708.8106429735,1306599.5814263877,1747965.6993811615,1584224.0
2004-02-28,1548688.7646578746,1331384.963382289,1779919.3601306607,1477935.0
2004-02-29,1517710.3344318822,1275675.597688917,1738945.6073525234,1389339.0
2004-03-01,1521116.527444003,1289321.5406329457,1754753.713528139,1365555.0
2004-03-02,1512352.6112152468,1304670.8830076635,1738829.3285503408,1239152.0
2004-03-03,1490975.124517472,1268077.2335666448,1712903.906465896,1187922.0
2004-03-04,1484957.786309053,1260598.5055621208,1701402.3902074473,1205441.0
2004-03-05,1476082.5963663636,1247714.8938555408,1692509.9400575645,1151619.0
2004-03-06,1494635.5032768766,1270571.3271414158,1713509.5010653285,1169293.0
2004-03-07,1463981.8278461376,1230025.225966181,1678243.3813624368,1183744.0
2004-03-08,1467501.1802807855,1245952.5583690268,1692335.3277742185,1478839.0
2004-03-09,1458678.053935435,1237211.6076173063,1679749.692501909,1522708.0
2004-03-10,1437108.9907094773,1209898.720684055,1664322.2915293372,1618233.0
2004-03-11,1430806.7807696778,1195265.6848714498,1651242.22790436,1545563.0
2004-03-12,1421590.0437368606,1209227.1225378031,1651438.6340973417,1366042.0
2004-03-13,1439777.6111235293,1214614.9312468083,1675289.6740837933,1464365.0
2004-03-14,1408762.9319833969,1173304.0730133313,1647519.8389222657,1375317.0
2004-03-15,1411948.2630452153,1190741.0966507471,1638729.9389564565,1237939.0
2004-03-16,1402834.8376192998,1199047.9084121154,1631257.6437250322,1306138.0
2004-03-17,1381029.9084401757,1149046.7045056308,1609993.7200296752,1473489.0
2004-03-18,1374551.1161297013,1141950.02013693,1600929.8389863991,1535099.0
2004-03-19,1365216.5090903162,1126809.8107793697,1594526.839943301,1339173.0
2004-03-20,1383339.6039939625,1158960.1976423424,1605283.493795481,1377089.0
2004-03-21,1352304.6702561474,1118839.3854766318,1575962.3510643262,1267610.0
2004-03-22,1355501.9548276484,1115933.372302311,1568077.0783040293,1681250.0
2004-03-23,1346418.9920399599,1122075.9862777025,1566647.729336184,1667298.0
2004-03-24,1324648.8413889054,1101005.2390481594,1550132.0251874286,1475860.0
2004-03-25,1318195.6518720738,1089232.8915408617,1532485.7048401027,1271181.0
2004-03-26,1308865.8268059976,1078163.8029113247,1542341.1596314288,1167709.0
2004-03-27,1326964.1291046143,1089130.72759528,1534565.456904388,1127125.0
2004-03-28,1295869.8666782372,1089149.1005764809,1511063.7533612496,1119333.0
2004-03-29,1298972.8358131286,1069756.073911265,1516142.1100910006,1292209.0
2004-03-30,1289765.1370741697,1064720.3176666559,1516318.8520029925,1419903.0
2004-03-31,1267849.6846767762,1024533.035613982,1489134.2020983347,1370868.0
2004-04-01,1261245.7953102766,1044313.7819602333,1479741.2387696241,1298600.0
2004-04-02,1251780.1272862968,1026578.9276336516,1483343.022123272,1332055.0
2004-04-03,1269782.3168989527,1040001.1404083098,1500912.092152557,1286582.0
2004-04-04,1238660.467187759,1029810.5246934571,1467666.9327359325,1299635.0
2004-04-05,1241836.1922133341,1036982.8337950263,1464130.1330527177,1392649.0
2004-04-06,1232835.3637120132,1004215.4841605128,1464845.8228839133,1340784.0
2004-04-07,1211295.4203093601,988231.8882357407,1456853.0402084405,1175919.0
2004-04-08,1205269.669660559,981827.7124652806,1431530.5353255528,1092163.0
2004-04-09,1196616.9023801878,966503.3900468794,1436872.5756527162,1079607.0
2004-04-10,1215695.7145331346,1007469.0572705626,1454026.157212856,1179128.0
2004-04-11,1185938.7438722607,968916.1596434689,1410274.3162578102,1213696.0
2004-04-12,1190786.5712679704,975252.3253520618,1409894.1527519964,1394740.0
2004-04-13,1183777.479143126,947740.9556693335,1414021.6831812556,1275970.0
2004-04-14,1164553.9670483132,936638.7792087931,1373873.7858999243,1225542.0
2004-04-15,1161166.4882746385,941008.7938107818,1387103.1700536173,1128211.0
2004-04-16,1155462.7522440285,943229.3654334414,1382197.5344976208,1064804.0
2004-04-17,1177782.0067222929,949601.553458192,1400858.8369900545,972809.0
2004-04-18,1151529.513029498,937166.9562895736,1342276.8308673531,962562.0
2004-04-19,1160110.9640509645,928975.8218161041,1370501.3360095252,1067011.0
2004-04-20,1157023.025547746,942928.0656751984,1386200.2703834116,1172514.0
2004-04-21,1141860.8802204132,901551.2137971792,1346141.6612298144,1223174.0
2004-04-22,1142623.2089776667,913641.1707655723,1370401.1674139164,1210433.0
2004-04-23,1141102.9168684804,915112.4472483236,1361867.942897796,1238966.0
2004-04-24,1167582.9737682897,954855.9402351656,1396563.921832472,1200120.0
2004-04-25,1145412.5337984404,929802.3408073348,1372191.5130714304,1118512.0
2004-04-26,1157943.030429889,951018.0736713993,1393174.6472092972,1119447.0
2004-04-27,1158620.3730010062,946598.5682818504,1389554.7857872387,1105181.0
2004-04-28,1146994.0692209015,911316.7879288539,1357469.45563434,1166316.0
2004-04-29,1151023.6549452916,917026.953666718,1392469.5120827686,1162632.0
2004-04-30,1152470.6890141794,919216.9823474383,1379964.4755488795,1097117.0
2004-05-01,1181595.6387572768,942125.4377165557,1414628.2919964294,1092892.0
2004-05-02,1161734.782368793,933290.4735208798,1376927.6023945394,1141228.0
2004-05-03,1176236.7953501828,951003.8892346747,1395598.9033622444,1158364.0
2004-05-04,1178555.1260956172,933773.2736709194,1407172.5155626037,1230935.0
2004-05-05,1168256.9744063395,948490.4804439778,1401725.889009446,1207449.0
2004-05-06,1173329.2540752543,953422.5687846072,1414535.5280449796,1204364.0
2004-05-07,1175569.8058539769,959003.2958055037,1415335.1531297918,1331693.0
2004-05-08,1205283.2096881354,988116.0198027424,1437939.1575432054,1201148.0
2004-05-09,1185856.349428096,962016.0651542814,1385657.2431753888,1257425.0
2004-05-10,1200693.437572487,974219.927871348,1448363.8412099525,1386439.0
2004-05-11,1203306.6513791555,968593.5141676025,1410347.7008499263,1374454.0
2004-05-12,1193323.2469805556,963906.7209030367,1433280.591002291,1330586.0
2004-05-13,1198789.5898494888,963752.0758251887,1441773.1931968117,1344521.0
2004-05-14,1201560.429792715,969935.1285053927,1424618.3382078663,1372882.0
2004-05-15,1231992.8276902125,1005131.2580741358,1474670.355428203,1384848.0
2004-05-16,1213519.950514694,982334.744959772,1449987.4777385572,1268377.0
2004-05-17,1229584.4980927873,1013395.173500821,1463425.0712706184,1263793.0
2004-05-18,1233727.9658500354,1008464.9503097748,1438743.5347760227,1360360.0
2004-05-19,1225596.6562623184,997091.8672357942,1461797.3193980097,1351396.0
2004-05-20,1233244.9153903157,997580.453266172,1464203.2705915691,1350243.0
2004-05-21,1238523.9513544654,1009431.7845777639,1474504.3298174804,1510417.0
2004-05-22,1271775.6602919237,1040517.7979916402,1484050.9381000404,1539228.0
2004-05-23,1256406.683607424,1030244.0069997929,1482869.9188736272,1548389.0
2004-05-24,1275822.4558676986,1034188.4279097996,1505240.2255158783,1559582.0
2004-05-25,1283517.4320939714,1054846.5642583384,1490185.5863237544,1606197.0
2004-05-26,1279082.380685623,1042944.5041165082,1483853.4359279429,1508293.0
2004-05-27,1290509.1815854579,1074053.9536850813,1518481.6198738695,1461789.0
2004-05-28,1299581.4405642124,1069250.7817098887,1518803.6801733961,1415759.0
2004-05-29,1336570.2913195784,1110906.4752343465,1557151.1976951726,1352866.0
2004-05-30,1324810.549125548,1089326.939702431,1561928.4508509408,1159934.0
2004-05-31,1347636.9108912349,1122884.9215706394,1582459.6076162136,1408145.0
2004-06-01,1358476.32348068,1142129.5806072536,1614473.6211973508,1364181.0
2004-06-02,1356857.3392862729,1129030.132524773,1582286.9075669465,1406961.0
2004-06-03,1370716.8332083386,1133142.543335724,1596051.411421211,1423423.0
2004-06-04,1381792.330316998,1160468.6465684522,1617216.158056819,1164915.0
2004-06-05,1420319.260130009,1184494.5017969348,1646056.4859963378,1123622.0
2004-06-06,1409608.2531261225,1177594.941694049,1632448.001917604,1153756.0
2004-06-07,1432982.1354821995,1227898.539583931,1673771.6808014007,1242144.0
2004-06-08,1443868.7155673653,1216581.1730439696,1666971.3021450997,1343383.0
2004-06-09,1441810.164426582,1211450.5298260176,1666904.7816220005,1594742.0
2004-06-10,1454769.3598461952,1237146.8258816246,1695293.2620261048,1636859.0
2004-06-11,1464521.4511872248,1247581.8937266474,1681668.041775348,1644362.0
2004-06-12,1501349.9811848036,1274843.015199303,1723822.84473424,1308902.0
2004-06-13,1488622.712443645,1289662.9006037682,1712838.746797147,1197674.0
2004-06-14,1509726.8576931567,1300308.1340247255,1740865.8837648684,1442657.0
2004-06-15,1518159.8601432405,1290602.7605111434,1746201.603322451,1517205.0
2004-06-16,1513536.5871615177,1310284.7534716593,1759942.2764271037,1588063.0
2004-06-17,1523893.3754006496,1298632.5169682896,1746749.0271525483,1746426.0
2004-06-18,1531077.2502629731,1310920.0801350647,1750252.0871029838,1799073.0
2004-06-19,1565439.741607097,1353366.2356708937,1787165.384184287,1706026.0
2004-06-20,1550410.5051156592,1315507.0394767323,1755020.2698270343,1377561.0
2004-06-21,1569430.5254902923,1355518.164430071,1787081.2648658243,1327693.0
2004-06-22,1576041.1130323939,1347365.7990016558,1810085.0325971686,1530840.0
2004-06-23,1569889.6163760743,1342648.0236706529,1793720.7751478718,1476537.0
2004-06-24,1579032.339050374,1335299.0421614586,1810516.3226038506,1542711.0
2004-06-25,1585323.0289587718,1359235.3959846562,1810210.3387631846,1456413.0
2004-06-26,1619106.3791136122,1409697.4543858618,1843961.1158944308,1441479.0
2004-06-27,1603791.7764060313,1378834.8862311745,1828878.0309990873,1298737.0
2004-06-28,1622787.0704949526,1405590.047761472,1850886.3814304261,1395491.0
2004-06-29,1629588.5636509953,1397168.5768678759,1859273.7328252213,1532826.0
2004-06-30,1623788.118810615,1404949.4310569284,1842303.6361155512,1554646.0
2004-07-01,1633377.8350222777,1417285.62871372,1857740.5575052279,1597664.0
2004-07-02,1640140.6089262783,1423459.0234799064,1865547.2463966468,1752090.0
2004-07-03,1674345.959603397,1444422.516890518,1897657.6403051931,1765731.0
2004-07-04,1659326.2837830018,1442228.6555720163,1882819.2139764652,1772321.0
2004-07-05,1678413.2369423648,1449596.1902595097,1900756.8093544242,1879248.0
2004-07-06,1685030.3601128715,1442206.588261631,1912505.8437934746,1866119.0
2004-07-07,1678702.7665943678,1455282.2771324536,1889989.792985084,1747073.0
2004-07-08,1687364.2552175778,1472086.9149190455,1916216.5796949957,1796479.0
2004-07-09,1692750.08931665,1475243.0385376513,1931012.6630228958,1834337.0
2004-07-10,1725094.7448325255,1494541.135578429,1941273.0280924204,1803845.0
2004-07-11,1707709.728537941,1461281.1222364893,1947483.2442331542,1732579.0
2004-07-12,1723921.1059867665,1509556.72487004,1943102.984652286,1730176.0
2004-07-13,1727162.8150054633,1508450.4082785754,1954596.05361121,1887662.0
2004-07-14,1716986.5483934814,1501738.262237784,1950485.4426995723,1856043.0
2004-07-15,1721368.5565414208,1509175.6365564286,1937658.2884751726,1661030.0
2004-07-16,1722101.608505639,1492669.5186298748,1942507.6609597027,1608138.0
2004-07-17,1749491.4299044814,1533241.7695688116,1968342.8119076,1614484.0
2004-07-18,1726932.7489160171,1500102.5882206545,1960225.001534188,1539854.0
2004-07-19,1737844.6349365634,1521537.7801612618,1967816.2876367667,1657123.0
2004-07-20,1735761.2641953866,1502721.0049720395,1948773.9013729098,1619783.0
2004-07-21,1720338.9664379985,1495156.4393362103,1930843.6128926633,1686391.0
2004-07-22,1719659.9838411938,1500356.765039979,1938495.2638524694,1745120.0
2004-07-23,1715621.2689013344,1475206.4012042698,1943852.156520911,1759006.0
2004-07-24,1738627.7330586934,1494911.2258721585,1967510.5301006811,1581526.0
2004-07-25,1712165.1732070257,1513910.6035102082,1944210.4878645216,1478813.0
2004-07-26,1719732.656141644,1499879.3472795882,1937691.251028203,1682833.0
2004-07-27,1714930.5874886126,1497942.395932787,1939513.5898092827,1757158.0
2004-07-28,1697465.4054122572,1482831.008345052,1916547.3303748504,1722892.0
2004-07-29,1695564.7741180402,1461904.9661060837,1914142.0274183636,1620587.0
2004-07-30,1691024.838163639,1468404.5309068125,1917900.4218644258,1761262.0
2004-07-31,1714242.6662800328,1483180.952407936,1951981.7109141522,1873764.0
2004-08-01,1688675.4856873169,1452068.5203772415,1925283.301217648,1802866.0
2004-08-02,1697773.340323222,1463470.929691557,1918138.085479329,1691321.0
2004-08-03,1695068.0371443005,1473505.410633076,1931529.7117826494,1731175.0
2004-08-04,1680179.307080772,1459543.2407228814,1899844.2084312737,1842279.0
2004-08-05,1681118.6579538907,1446599.4436308683,1916539.8926197975,1611219.0
2004-08-06,1679679.2641230428,1429108.4637344754,1908984.634659857,1366906.0
2004-08-07,1706131.2935605482,1473872.6778133619,1943068.4809242534,1355836.0
2004-08-08,1683797.859215577,1467586.1855949026,1897949.413951907,1402147.0
2004-08-09,1695991.3059365724,1457320.5987087016,1933762.6491676425,1500301.0
2004-08-10,1696105.9638086206,1476172.3792767453,1911629.139596277,1616661.0
2004-08-11,1683628.1880037824,1452312.0013622022,1912958.5743842698,1651531.0
2004-08-12,1686444.0522136956,1459880.1773980414,1904839.8810362937,1474079.0
2004-08-13,1686232.9295943056,1463141.781232771,1906502.4377065012,1462277.0
2004-08-14,1713166.2537146583,1490790.072690884,1948887.7560867292,1317573.0
2004-08-15,1690486.5439746315,1449395.8360169358,1932535.0135686558,1235424.0
2004-08-16,1701446.3132364277,1470997.284738191,1929099.0593549684,1484702.0
2004-08-17,1699402.9067019704,1470310.2714424087,1924775.265715024,1455677.0
2004-08-18,1683830.0245400371,1474028.0788586847,1903861.5708685708,1509270.0
2004-08-19,1682626.2441103915,1461256.7913361017,1911091.9680512697,1774698.0
2004-08-20,1677508.7425561144,1438274.093773229,1904274.4539910196,1849521.0
2004-08-21,1698711.498346795,1471783.3382437013,1921954.7091159672,1746287.0
2004-08-22,1669563.06221994,1449435.9693881376,1888510.4095683892,1514517.0
2004-08-23,1673423.5412078232,1461281.242278901,1902060.9452545177,1562947.0
2004-08-24,1663776.8901783815,1425836.5307015101,1892912.610523977,1625293.0
2004-08-25,1640239.327168817,1403947.2831796145,1861852.7845798114,1583637.0
2004-08-26,1630864.2688856747,1420129.463839325,1855048.799115505,1593756.0
2004-08-27,1617532.0823066938,1375323.0437234347,1842423.9568547972,1679052.0
2004-08-28,1630644.038187735,1399611.451120863,1856926.3249602166,1750659.0
2004-08-29,1593695.6732617596,1345142.6987967864,1804403.09677022,1673258.0
2004-08-30,1590209.3270315314,1373486.153871182,1809705.4409606731,1463664.0
2004-08-31,1573822.0722306233,1344024.491156999,1784386.242315968,1680707.0
2004-09-01,1544289.9787579412,1316227.0884488109,1763183.9673284679,1440101.0
2004-09-02,1529789.2263165927,1304103.1974598723,1752375.5628152655,1378050.0
2004-09-03,1512302.4724194028,1275780.9418904185,1737671.0899523522,1436077.0
2004-09-04,1522309.9609127697,1283360.799458704,1756691.2051173425,1509070.0
2004-09-05,1483360.6628079766,1255487.0788700033,1711216.1769095522,1491650.0
2004-09-06,1479003.2834101177,1259829.682025557,1698411.0020649293,1439887.0
2004-09-07,1462873.403871438,1236084.6438188327,1675284.6657478248,1440075.0
2004-09-08,1434697.7254109692,1203570.002268267,1667496.9157996261,1526543.0
2004-09-09,1422845.8526065412,1186433.2742840438,1651998.3358460485,1531674.0
2004-09-10,1408968.43535141,1196380.0893076563,1639684.2560944387,1448369.0
2004-09-11,1423440.261314356,1200692.2548444415,1644422.0246237023,1448197.0
2004-09-12,1389684.389043079,1165896.6563063553,1619758.0364641135,1418581.0
2004-09-13,1391106.6501341036,1179241.359104038,1612624.564312362,1393396.0
2004-09-14,1381186.7793856058,1157933.8149864222,1602695.096311542,1328633.0
2004-09-15,1359487.0314640952,1122718.1509951777,1571944.8379192292,1269653.0
2004-09-16,1353958.6845508027,1139512.7988990447,1567976.7874622648,1327189.0
2004-09-17,1346334.6923528654,1119600.3765101936,1579035.271508776,1435457.0
2004-09-18,1366827.7977186234,1126921.6875746755,1591175.7634617279,1239474.0
2004-09-19,1338709.2057779508,1116848.4616304655,1556062.4249634366,1170226.0
2004-09-20,1345247.4401149056,1118705.8565296105,1556424.038575317,1189658.0
2004-09-21,1339803.4288805085,1139158.9078468564,1574188.5991816309,1239351.0
2004-09-22,1321842.5633545162,1115864.4854156345,1552136.261360991,1334588.0
2004-09-23,1319244.0271665633,1091218.1453166362,1538940.3497864958,1361982.0
2004-09-24,1313695.572107044,1091224.2423520696,1536657.5771038968,1316216.0
2004-09-25,1335392.9877057106,1112514.1010459084,1563420.8570847535,1265488.0
2004-09-26,1307619.3178782477,1069988.6056572625,1556267.0491937834,1270068.0
2004-09-27,1313683.4264255443,1087150.2797730754,1537228.5051707863,1255105.0
2004-09-28,1307013.9602836384,1081024.5041728357,1550847.9052052754,1308595.0
2004-09-29,1287169.4788788175,1060009.4932450617,1523018.6953409023,1241765.0
2004-09-30,1282145.0969565706,1053579.800376969,1513106.837239114,1238417.0
2004-10-01,1273763.888088601,1053561.7341097964,1495200.5203886346,1204240.0
2004-10-02,1292372.3875605527,1072056.7109576839,1509796.4491903537,1242890.0
2004-10-03,1261415.3572881147,1041172.3192210909,1480206.8799990846,1162560.0
2004-10-04,1264369.5387353955,1040075.0222950062,1487596.86819252,1207462.0
2004-10-05,1254832.578349819,1021708.0838104064,1478731.422331972,1145427.0
2004-10-06,1232528.037137785,1017507.5887716677,1458898.6972226494,1152505.0
2004-10-07,1225606.978652412,995122.3990142478,1442058.8647255606,1182105.0
2004-10-08,1216034.5289734504,979277.7965358787,1447047.945921798,1170973.0
2004-10-09,1234280.8890571035,1009910.1458214199,1455917.191425123,1161093.0
2004-10-10,1203892.0949977024,975190.3570577254,1422930.0809424873,1134533.0
2004-10-11,1208420.3724299998,970863.1395432755,1426527.7585346575,1149313.0
2004-10-12,1201510.3736674374,977713.960116022,1416601.165972701,1094473.0
2004-10-13,1182902.2940060827,964705.845614698,1411873.42443521,1114157.0
2004-10-14,1180732.424413636,950749.2043855328,1410796.6916193326,1165183.0
2004-10-15,1176919.5732921003,939979.5113545759,1407058.4843036286,1143211.0
2004-10-16,1201856.8516408552,973648.5036352262,1435430.2669202362,1194317.0
2004-10-17,1178984.1053258432,954596.9803825697,1402709.3639633004,1221817.0
2004-10-18,1191720.8031704053,977933.0822611998,1441202.6963071597,1253147.0
2004-10-19,1193555.6071018716,973500.7800734836,1415611.2051337734,1166167.0
2004-10-20,1184053.5351134555,959285.5561025747,1411419.7383458903,1185265.0
2004-10-21,1191353.7346131594,972400.7765879988,1417330.1967833769,1168825.0
2004-10-22,1196983.3382013727,984478.2245731254,1432203.4335505434,1185129.0
2004-10-23,1231132.427451598,1000981.8097728967,1460565.8951415927,1261809.0
2004-10-24,1217039.5661264416,981581.6810256027,1448693.4669798836,1236401.0
2004-10-25,1237930.3891272678,1015832.1636042552,1478134.358187354,1211114.0
2004-10-26,1247112.7456876836,1018411.7459862493,1478495.674953734,1195766.0
2004-10-27,1243989.148879463,1018147.9087326167,1469563.4754757306,1206143.0
2004-10-28,1256366.829565725,1036781.1274916211,1485193.7241221417,1180915.0
2004-10-29,1265853.560830368,1021637.6477751243,1494355.445704699,1151562.0
2004-10-30,1302558.480396949,1083576.8429266235,1535645.0023715969,1109201.0
2004-10-31,1289672.9352570106,1039295.1374531926,1508787.1167180368,1098264.0
2004-11-01,1310410.9124111624,1088492.9290318647,1540647.1425975473,1195117.0
2004-11-02,1318105.0588055707,1088268.189899693,1548178.7097642934,1184639.0
2004-11-03,1312219.0061770636,1081647.2528854455,1521584.5300493916,1173426.0
2004-11-04,1320656.2900275595,1098661.347388114,1549287.5894998417,1281614.0
2004-11-05,1325154.0477697237,1072335.1722775616,1542839.814662195,1309287.0
2004-11-06,1355980.7702110684,1137833.4776229276,1590475.8503118597,1345045.0
2004-11-07,1336513.203846423,1121767.8841602951,1551633.5173201126,1264799.0
2004-11-08,1350172.0659040734,1109487.588636187,1579660.73280377,1210889.0
2004-11-09,1350512.6955732822,1137557.8766828545,1578755.6430586132,1433985.0
2004-11-10,1337231.496642158,1109324.7396070177,1570684.447601061,1543261.0
2004-11-11,1338468.6157778066,1101411.563697511,1556652.4118478869,1450064.0
2004-11-12,1336195.207861451,1119838.2142188183,1565251.2589260377,1356145.0
2004-11-13,1360904.735812031,1151300.0729802996,1600051.4833030496,1439377.0
2004-11-14,1336183.5778316702,1109234.147907396,1572982.5717675777,1623546.0
2004-11-15,1345640.7769082102,1126401.9705604701,1556309.166362634,1594332.0
2004-11-16,1342993.2215714091,1112777.58682094,1573369.7356369502,1548154.0
2004-11-17,1328067.2668184289,1121560.0806938545,1565965.022571935,1410975.0
2004-11-18,1329097.376968683,1092090.2228521449,1555272.2715206624,1300261.0
2004-11-19,1328110.259384503,1120839.971345041,1542392.4971441117,1220182.0
2004-11-20,1355614.0306724964,1152410.4351068286,1590960.9657491131,1219585.0
2004-11-21,1335167.7564324974,1105415.7407816143,1552921.8643512928,1183853.0
2004-11-22,1350311.2394534503,1135636.7331216168,1575299.5994380345,1314926.0
2004-11-23,1354651.3560823658,1139240.7987689632,1584536.0991069886,1320969.0
2004-11-24,1347865.9306026006,1113045.4712813583,1567189.5168113653,1309466.0
2004-11-25,1358005.680819419,1127214.5503918238,1598188.5249528575,1321064.0
2004-11-26,1366882.626874492,1139772.415059987,1596301.5200120942,1562516.0
2004-11-27,1404764.401536232,1189095.106641688,1635440.4168150623,1631267.0
2004-11-28,1394949.6758314522,1173857.4491586424,1616679.9791604416,1319850.0
2004-11-29,1420704.427156785,1198513.1955426154,1638327.5035345855,1415195.0
2004-11-30,1435355.1851148785,1205759.5153563863,1655419.5003053313,1357750.0
2004-12-01,1438344.0523767807,1227119.2639097911,1665231.6014144337,1164593.0
2004-12-02,1457405.9272588112,1219081.2340930114,1697973.6669273786,1345291.0
2004-12-03,1474095.976136527,1237839.742084904,1697954.6424454376,1318169.0
2004-12-04,1518446.7647519947,1279443.4898738964,1763940.9971154495,1425567.0
2004-12-05,1513550.005581152,1286875.0766801273,1727541.6341905848,1405543.0
2004-12-06,1542498.4972114228,1302388.9496813798,1767691.3690284,1369683.0
2004-12-07,1558484.240313727,1330387.413583085,1776648.1705593297,1232193.0
2004-12-08,1560813.4126500366,1328247.755109157,1798470.2358745204,1186350.0
2004-12-09,1577218.444804619,1357624.4697338694,1797770.1141367862,1442041.0
2004-12-10,1589255.3207556754,1362723.4577194,1800304.6546232684,1259352.0
2004-12-11,1627005.3043554197,1407853.0138442614,1846051.6712544602,1366852.0
2004-12-12,1613656.1054419072,1382586.2906861105,1851301.052459178,1438077.0
2004-12-13,1632442.0549530366,1417582.8712029282,1866388.407606485,1453201.0
2004-12-14,1636739.3131228017,1420567.0886058644,1863534.7315049572,1713325.0
2004-12-15,1626076.8621233741,1407585.24814469,1852969.4150367936,1840792.0
2004-12-16,1628443.6213939558,1402959.1317461967,1863610.2229510627,1830639.0
2004-12-17,1625679.9314338786,1403763.282094318,1851975.3196925698,1612522.0
2004-12-18,1648172.750717471,1413872.175933809,1872644.7292261033,1664159.0
2004-12-19,1619429.7412191248,1395179.048197724,1858232.3089614983,1774002.0
2004-12-20,1623011.9876400935,1380495.9070712104,1828382.3425521888,2220187.0
2004-12-21,1612621.5595158774,1394081.9952717836,1839536.4239346029,1865709.0
